Player, Score
Errol Thompson,0.225501536
Clayton Keller,0.225308795
John Madden,0.225290976
J.C. Tremblay,0.22501968
Bill Fairbairn,0.224980858
Jack Hughes,0.224762357
Nick Libett,0.224562164
Craig Hartsburg,0.22437177
Chuck Lefley,0.224347037
Joffrey Lupul,0.224318745
Mike Green,0.224239032
Billy Taylor,0.224096941
Darren Turcotte,0.224055005
Ron Schock,0.223882236
Darryl Sydor,0.223818106
Jason Blake,0.223765299
Gustav Nyquist,0.223578106
Glen Wesley,0.223415518
Tomas Tatar,0.223305301
Mikael Backlund,0.22323732
Kris Versteeg,0.223211223
Anson Carter,0.222935449
Shawn Horcoff,0.222752435
Paul Thompson,0.222539545
Bob Murray,0.222511311
Blake Dunlop,0.22251059
Johnny Wilson,0.222416412
Todd Marchant,0.22231948
Sami Kapanen,0.222276247
Timo Meier,0.222270555
Andy Hebenton,0.222238365
Dan Maloney,0.222219075
Greg Gilbert,0.22206277
Jonathan Cheechoo,0.22204481
Jochen Hecht,0.22202854
Mariusz Czerkawski,0.221998908
Babe Pratt,0.221943224
Dallas Drake,0.22193078
Radek Bonk,0.221657547
Ray Getliffe,0.221573568
Bronco Horvath,0.221423536
Andre Burakovsky,0.221353068
Fred Cook,0.221241223
Allan Stanley,0.22101144
Chico Maki,0.220973513
Brendan Gallagher,0.220944937
Herbie Lewis,0.220866442
Pat Boutette,0.220835106
Bill Hicke,0.220694841
Alex Frolov,0.220680076
Calle Johansson,0.220672222
Rickard Rakell,0.220671129
Jim Lorentz,0.220633964
Christian Ruuttu,0.220632797
Brian Campbell,0.220479852
Nik Antropov,0.220210012
Babe Siebert,0.220144225
Pat Hickey,0.22010721
Bruce Driver,0.220086917
Viktor Arvidsson,0.22004851
Zach Hyman,0.219877543
Marcus Johansson,0.219797912
Al Iafrate,0.219521744
Cal Gardner,0.219413758
Rob Niedermayer,0.219356532
Darcy Tucker,0.219025098
Cecil Dillon,0.21900507
Torey Krug,0.218870662
Doug Shedden,0.218825869
Gus Bodnar,0.21880311
Darryl Sutter,0.218669327
Todd Elik,0.218190059
Tyson Barrie,0.218006482
Frank St. Marseille,0.217942024
Sam Gagner,0.217845205
Dennis Ververgaert,0.217837412
Dougie Hamilton,0.217679173
Doug Smail,0.217281706
Tommy Williams,0.216878067
Tom Kurvers,0.216823509
Marcel Bonin,0.216743831
Bill Gadsby,0.216635411
Eddie Gerard,0.216490848
Stephan Lebeau,0.216478389
Gerry Meehan,0.215489271
Willy Lindstrom,0.215486418
Nino Niederreiter,0.215391187
Valeri Bure,0.215265214
Kelly Miller,0.214823172
Joe Primeau,0.214564247
Ron Flockhart,0.214288266
Rod Langway,0.214049527
Art Jackson,0.213964395
Kevin Shattenkirk,0.21378985
Mush March,0.213357069
Bryan McCabe,0.213335126
Adam Creighton,0.213197132
Tomas Jonsson,0.213161455
Blair MacDonald,0.213055677
Yanni Gourde,0.212831926
Brady Tkachuk,0.212819574
